Company Name,Type,Primary Market(s),Counties Served,Serves Palm Beach Co.,Street Address,City,State,ZIP,Phone,Email,Website,Pricing (availability),Reference Rate (market avg),Notes,Source,Confidence
Billboard Connection,Broker / agency / marketplace,West Palm Beach; statewide FL,Palm Beach (+ statewide brokerage),Yes,,,FL,,(941) 208-2466,,https://billboardconnection.com/listing/west-palm-beach-fl-billboard-advertising-billboards-in-west-palm-beach/,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),"Franchise brokerage; access to I-95, US-1, Okeechobee Blvd, Florida's Turnpike inventory.",billboardconnection.com; WebSearch 2026-07-08,High
Blue Line Media,Broker / agency / marketplace,West Palm Beach (national broker),Palm Beach (+ nationwide brokerage),Yes,,,FL,,(800) 807-0360,Advertise@BlueLineMedia.com,https://www.bluelinemedia.com/billboard-advertising/west-palm-beach-fl,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),Brokerage — books static/vinyl & digital/LED across operators; publishes market rate guides.,bluelinemedia.com; WebSearch 2026-07-08,High
Clear Channel Outdoor Holdings (Corporate),National operator,National (HQ),Statewide FL via local offices,Yes,,San Antonio,TX,,,,https://clearchanneloutdoor.com/,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),Parent company; big-three US OOH operator.,clearchanneloutdoor.com; WebSearch 2026-07-08,High
Clear Channel Outdoor — West Palm Beach,National operator,Palm Beach County to Indian River County,Palm Beach; Martin; St. Lucie; Indian River,Yes,,West Palm Beach,FL,,,,https://clearchanneloutdoor.com/where-we-are/west-palm-beach/,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),"~67MM weekly impressions in market; I-95 and Palm Beach Intl Airport coverage. Miami office: 5800 NW 77th Court, Miami, FL 33166.",clearchanneloutdoor.com; WebSearch 2026-07-08,High
Lamar Advertising (Palm Beach),National operator,Palm Beach County; South Florida,Palm Beach; Martin; St. Lucie,Yes,801 Northpoint Parkway,West Palm Beach,FL,33407,(561) 358-1207,,https://lamar.com/palmbeach,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),"Largest US billboard operator. Bulletins, posters, digital & transit in Palm Beach Co.",lamar.com/palmbeach; WebSearch 2026-07-08,High
Lamar Advertising Company (Corporate),National operator,National (HQ),Statewide FL via local offices,Yes,,Baton Rouge,LA,,,,https://lamar.com/,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),Parent company; ~1 of the big-three US OOH operators.,lamar.com; en.wikipedia.org/wiki/Lamar_Advertising_Company,High
Lamar of South Florida,National operator,Miami; Fort Lauderdale; South Florida,Miami-Dade; Broward; Palm Beach,Yes,,,FL,,,,https://lamar.com/southflorida,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),Premium billboards + digital across the tri-county South FL market.,lamar.com/southflorida; WebSearch 2026-07-08,High
OUTFRONT Media Inc. (Corporate),National operator,National (HQ),Statewide FL via local offices,Yes,,New York,NY,,,,https://www.outfront.com/,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),Parent company; big-three US OOH operator.,outfront.com; WebSearch 2026-07-08,High
OUTFRONT Media — Pompano,National operator,Broward; South Florida,Broward; Palm Beach; Miami-Dade,Yes,2640 NW 17th Ln,Pompano Beach,FL,33064,,,https://www.outfront.com/,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),,WebSearch 2026-07-08,High
OUTFRONT Media — West Palm Beach,National operator,West Palm Beach; Fort Pierce,Palm Beach; St. Lucie; Broward,Yes,2640 NW 17th Ln (Pompano office),Pompano Beach,FL,33064,,,https://www.outfront.com/markets/west-palm-beach,Quote only — request from company,Static ~$800–$15k/mo; digital ~$1.2k–$25k+/mo (FL market avg),Static + digital billboards. South FL ops run out of Pompano Beach.,outfront.com/markets/west-palm-beach; WebSearch 2026-07-08,High
